MKA Blade Inspection Log -- 2026-04-27T15:58:39.791754
======================================================================

EVENT LOG
---------
[15:58:08] START Calibration inspection recording started (angle-change gated, peak-sharpness mode)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:08] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:09] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:10] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
[15:58:11] ERR   sample error: not enough values to unpack (expected 6, got 3)
