MKA Blade Inspection Log -- 2026-06-01T14:52:09.358732
======================================================================

EVENT LOG
---------
[14:49:18] START Calibration inspection recording started (angle-change gated, peak-sharpness mode)
[14:49:28] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:28] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:28] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:28] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:28] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:29] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:30] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
